,LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
33,-0.0020580477882827593,-0.7951514718918303,-0.40631893097169325,-1.253286813546358,-0.5728345802734872,3,1,3,0.7765742120022786,2,1.3905185325689307,-0.7951632272572445,0.35129671256941325,-1.0260408358133,2,-0.31868326571034533,0.6004949339126351,2,1,-0.7903385110368599,1,0.31172464418307205,-0.12155495960693731,-0.7521758378613592,-0.1307540105868522,165500
34,-0.4140106134094937,2.0981099585432412,1.1172352761668802,0.9755751289855163,0.7862525689121537,0,2,0,1.1482493240167713,0,1.0308391803169965,-0.7951632272572445,0.08668621217101834,0.7897405221108432,0,-0.31868326571034533,0.6004949339126351,2,1,1.0734606305339207,0,0.31172464418307205,0.3884304420921479,0.8679893897624237,0.005129230405811376,277500
35,1.563361701572319,1.3747946009344731,1.084114532533433,0.9755751289855163,0.15643169489929573,2,2,0,0.13583368147422692,0,-0.07925033130947681,2.229730865761556,1.782858556451377,2.6055218800349866,2,1.527656289595623,0.6004949339126351,2,3,1.0329432578910778,0,1.6503069397927341,1.020063737774501,0.14968953515089434,-0.2213428379152946,309000
36,1.7281427278208032,-0.7951514718918303,0.7529070961989605,0.4910399240872828,-0.5728345802734872,3,2,2,0.0902293732515898,0,-0.169817074682266,-0.7951632272572445,-0.7966179042667891,-1.0260408358133,3,-0.31868326571034533,-0.9512264882332893,5,1,0.6682869041054902,2,0.31172464418307205,0.9311671998636514,2.3764190844466357,0.2617975745030648,145000
37,0.16272297846020162,-0.7951514718918303,-0.5719226491389294,0.24877232163816604,3.01824935050158,3,1,3,0.5462724554779611,2,0.34770717316224364,-0.7951632272572445,-0.41588337131945835,-1.0260408358133,3,-0.934129784145668,0.6004949339126351,4,1,-0.9929253742510752,0,0.31172464418307205,0.11706206320639612,-0.7521758378613592,-0.704483250333654,153000
38,-0.08444856091252495,-0.7951514718918303,-0.6050433927723767,1.072482169965163,-0.5728345802734872,3,1,3,-0.0009792431936844568,4,-0.2733219242511679,-0.7951632272572445,-0.8727648108562553,-1.0260408358133,2,-0.934129784145668,-0.9512264882332893,5,5,-1.0334427468939182,2,-1.02685765142659,-1.0619867554006632,-0.7521758378613592,0.08061991984618004,109000
39,-0.20803433059888823,-1.518466829500598,-0.5388019055054822,-1.4471008955056512,-0.5728345802734872,3,2,4,-2.411166932760057,4,-0.02749790652502585,-0.7951632272572445,-0.6919159077062732,0.7897405221108432,1,-0.31868326571034533,-0.9512264882332893,5,6,-0.042304195013870435,3,-2.365439947036252,-2.2129629830885067,-0.7521758378613592,-0.704483250333654,82000
40,0.5746755440814125,-0.07183611428306244,-0.20759446917100974,-0.9625656906074178,-0.014835384876130548,3,1,3,0.06970743455140309,0,0.41757294662125244,-0.7951632272572445,-0.36448420937156867,0.7897405221108432,3,-0.31868326571034533,0.6004949339126351,4,1,-0.5472342751798016,1,0.31172464418307205,-0.15430631567935563,-0.7521758378613592,1.379059778220521,160000
41,1.8517284975071664,-0.7951514718918303,-0.40631893097169325,-1.253286813546358,-0.5728345802734872,3,1,3,0.6671238722679494,2,0.42792343157814267,-0.7951632272572445,-0.35686951871262207,-1.0260408358133,3,-0.934129784145668,2.1522163560585597,2,1,-0.7903385110368599,1,-1.02685765142659,-0.7719033159021009,-0.7521758378613592,0.8657230900260141,170000
42,-0.4140106134094937,-0.7951514718918303,0.38857891623104074,-0.09040232179059743,-0.5728345802734872,3,1,2,-0.4957859874092973,2,-0.7209803986366687,-0.7951632272572445,-1.2021001818556964,-1.0260408358133,2,-0.934129784145668,-0.9512264882332893,5,1,0.18207843239137347,1,0.31172464418307205,0.14513465412561183,1.1632904411027192,-0.704483250333654,144000
43,-0.4140106134094937,-0.7951514718918303,0.12361296716346273,-0.2357628832600675,-0.5728345802734872,3,1,2,-0.2723248771183754,4,-0.5812488517186511,-0.7951632272572445,-1.0993018579599172,-1.0260408358133,3,-0.934129784145668,-0.9512264882332893,5,5,-0.06102580346568487,2,-1.02685765142659,-0.7719033159021009,0.40508503901277143,-0.704483250333654,130250
44,-0.0020580477882827593,-0.7951514718918303,-0.40631893097169325,-1.253286813546358,-0.5728345802734872,3,1,3,0.2110807900415782,0,-0.032673149003470944,-0.7951632272572445,-0.6957232530357464,-1.0260408358133,3,-0.31868326571034533,-0.9512264882332893,5,1,-0.7903385110368599,1,-1.02685765142659,-0.8093334371277219,-0.7521758378613592,-0.704483250333654,141000
45,-0.3728153568473726,2.0981099585432412,1.1172352761668802,0.9755751289855163,1.7033601573870172,0,2,0,1.5837704675429558,0,1.5250748370085032,-0.7951632272572445,0.45028769113571926,0.7897405221108432,0,-0.31868326571034533,0.6004949339126351,2,1,1.0734606305339207,1,0.31172464418307205,0.4820057451562002,0.812121623292638,0.533564056488392,319900
46,-0.9083536921549469,0.6514792433257054,1.0509937888999856,0.8786680880058696,-0.5728345802734872,2,2,0,0.8586619668030254,0,0.9195714670304268,0.6508278126631065,1.206045739036171,-1.0260408358133,2,-0.31868326571034533,0.6004949339126351,0,1,0.9924258852482346,1,0.31172464418307205,0.9218096695572461,0.5886505574134956,-0.05526332114648355,239686
47,0.5746755440814125,1.3747946009344731,1.1503560198003273,1.0240286494753397,-0.5728345802734872,2,2,2,1.3648697880742975,0,1.2766631980431384,-0.7951632272572445,0.2675351153210005,0.7897405221108432,2,0.29676325272497744,-0.9512264882332893,5,1,1.1139780031767639,1,1.6503069397927341,1.6516970334568541,-0.7521758378613592,1.4998448813251108,249700
48,-1.5262825405867633,-1.518466829500598,-1.6980279326761358,1.1209356904549863,-0.5728345802734872,3,0,3,-0.7329283901670104,2,-1.1039483420416059,0.8456126595620445,-0.12081410828527696,0.7897405221108432,3,0.9122097711603002,-0.9512264882332893,5,6,-0.042304195013870435,3,-2.365439947036252,-2.2129629830885067,-0.7521758378613592,-0.704483250333654,113000
49,-0.16683907403676715,-0.7951514718918303,-0.1744737255375625,-0.9141121701175944,-0.5728345802734872,3,1,3,-0.2335612151291338,0,-0.5372592906518678,-0.7951632272572445,-1.066939422659394,-1.0260408358133,3,-0.31868326571034533,-0.9512264882332893,5,1,-0.5067169025369586,2,-1.02685765142659,-0.4069596339522969,-0.7521758378613592,-0.704483250333654,127000
50,-0.4140106134094937,-0.07183611428306244,0.8522693270993021,0.5879469650669296,-0.5728345802734872,3,2,2,-0.6006758963213626,2,-0.9538663101666981,0.7539492021978383,-0.08654800032001718,0.7897405221108432,3,-0.31868326571034533,-0.9512264882332893,5,1,0.7493216493911763,0,0.31172464418307205,-0.39760210364589166,-0.7521758378613592,0.42787709127187584,177000
51,-0.7435726659064624,-0.07183611428306244,-1.2343375218078745,-1.689368497954768,-0.5728345802734872,3,2,3,-0.5505111572764618,4,-0.8969386429038021,-0.7951632272572445,-0.6462277637525935,-1.0260408358133,3,-0.31868326571034533,0.6004949339126351,2,5,0.2631131776770596,2,0.31172464418307205,0.2574250178024746,0.14170842565521066,-0.704483250333654,114500
52,1.645752214696561,-0.7951514718918303,-0.27383595643790426,-1.0594727315870645,-0.5728345802734872,1,1,2,-0.5505111572764618,4,-0.8969386429038021,-0.7951632272572445,-1.331549923057789,-1.0260408358133,3,-0.934129784145668,-0.9512264882332893,5,4,-0.6282690204654877,2,0.31172464418307205,0.20127983596404322,0.09382176868110871,-0.704483250333654,110000
54,-0.4140106134094937,-0.7951514718918303,-0.5388019055054822,-1.4471008955056512,-0.5728345802734872,3,1,3,-1.5355642148854238,4,0.5107273112332642,-0.7951632272572445,-0.2959519934410491,-1.0260408358133,3,-0.31868326571034533,0.6004949339126351,4,5,-0.6687863931083308,2,0.31172464418307205,0.46329068454338973,-0.7521758378613592,0.050423644070032574,130000
55,1.23379964907535,-0.07183611428306244,-0.24071521280445698,-1.0110192110972411,0.9298959261431564,3,1,3,0.8381400281028387,2,0.6789226917827298,-0.7951632272572445,-0.17221327023316663,0.7897405221108432,3,0.29676325272497744,0.6004949339126351,2,1,-0.5877516478226447,1,0.31172464418307205,0.4820057451562002,-0.7521758378613592,-0.704483250333654,180500
56,-1.8970398496458531,1.3747946009344731,0.9185108143661966,0.7333075265363995,1.9464489157779448,2,2,2,-0.19935798396215595,0,-0.4648058959536365,0.9372761169262505,0.4255399464941428,0.7897405221108432,2,0.29676325272497744,-0.9512264882332893,5,1,0.8303563946768624,0,0.31172464418307205,0.03284429044874903,0.16565175414226166,-0.704483250333654,172500
57,0.7806518268920181,0.6514792433257054,1.084114532533433,0.927121608495693,-0.5728345802734872,2,2,2,-0.4501816791866602,0,-0.78308330837801,1.1756011060731864,0.38937016586414636,0.7897405221108432,2,0.29676325272497744,-0.9512264882332893,5,1,1.0329432578910778,1,0.31172464418307205,0.4305393284709714,-0.7521758378613592,0.3523864018315072,196500
59,-0.4140106134094937,-0.7951514718918303,0.02425073626312099,-0.6233910471786543,-0.5728345802734872,3,1,3,-0.6325989120772086,0,-0.9900930075158139,-0.7951632272572445,-1.4000821389883085,-1.0260408358133,3,-1.5495763025809908,-0.9512264882332893,5,5,-0.2230952940370571,2,-1.02685765142659,-0.5660376491611858,0.812121623292638,-0.704483250333654,124900
60,-0.29042484372313043,-0.07183611428306244,1.084114532533433,0.927121608495693,-0.5728345802734872,3,2,2,0.22932251333063305,0,-0.011972179089690562,-0.7951632272572445,-0.6804938717178532,-1.0260408358133,2,-0.934129784145668,-0.9512264882332893,5,5,1.1139780031767639,2,0.31172464418307205,0.4820057451562002,-0.7521758378613592,0.050423644070032574,158000
61,-0.4140106134094937,-0.7951514718918303,-1.6980279326761358,0.5394934445771061,-0.5728345802734872,3,0,3,-1.2026527648601728,4,-1.505029634121101,0.4193775828184861,-0.769966486960476,-1.0260408358133,1,-0.31868326571034533,-0.9512264882332893,5,5,-1.7627554544650934,2,-1.02685765142659,-0.8654786189661533,-0.7521758378613592,-0.704483250333654,101000
62,-1.0731347184034312,1.3747946009344731,1.1503560198003273,1.0240286494753397,0.4105699423079928,2,2,2,0.7127281804905866,0,0.5366035236254897,-0.7951632272572445,-0.2769152667936826,0.7897405221108432,2,-0.31868326571034533,0.6004949339126351,2,1,1.1139780031767639,1,0.31172464418307205,0.05155935106155949,0.20555730162067995,0.035325506181958836,202500
63,-0.8259631790307046,0.6514792433257054,-1.6649071890426888,-1.689368497954768,-0.5728345802734872,3,0,3,-1.0977628559481074,2,-0.6744032163306629,1.0564386114997184,0.3703334392167798,0.7897405221108432,3,1.527656289595623,-0.9512264882332893,5,5,0.46570004089127487,2,0.31172464418307205,0.03284429044874903,-0.6564025239131553,-0.538403733564843,140000
64,-0.4140106134094937,0.6514792433257054,0.8522693270993021,0.6364004855567529,2.592844023317457,3,2,2,-0.0009792431936844568,0,-0.2733219242511679,1.4437167188634892,0.9871233825914557,0.7897405221108432,2,0.9122097711603002,-0.9512264882332893,5,1,0.7898390220340193,1,0.31172464418307205,0.8048405407271807,3.844943231652429,-0.16095028636299968,219500
65,0.24511349158444382,1.3747946009344731,1.084114532533433,0.9755751289855163,1.327677530782856,2,2,0,0.1951192821636552,0,-0.050786497678028786,2.2526467301026076,1.822835682410847,0.7897405221108432,2,1.527656289595623,0.6004949339126351,2,3,1.0329432578910778,1,1.6503069397927341,1.7733449274401223,0.7801971853099035,1.5753355707654795,317000
66,-0.4140106134094937,0.6514792433257054,-0.04199075100377351,0.2003188011483427,1.0127670937764273,3,1,2,2.0284124727136676,4,2.7024425008547626,-0.7951632272572445,1.316458753590897,0.7897405221108432,3,0.29676325272497744,0.6004949339126351,2,1,-0.3446474119655863,1,0.31172464418307205,0.4820057451562002,1.6501381203394223,-0.704483250333654,180000
67,0.08033246533595943,0.6514792433257054,1.0509937888999856,0.8786680880058696,0.3497977527102609,2,2,2,0.9019860596145307,0,0.8186542387007475,-0.7951632272572445,-0.0694149463373873,0.7897405221108432,2,0.29676325272497744,-0.9512264882332893,5,1,0.9924258852482346,1,0.31172464418307205,0.39778797239855307,0.3971039295170878,-0.2666372515795158,226000
68,-0.949548948717068,-1.518466829500598,-0.8700093418399547,-1.689368497954768,-0.5728345802734872,3,1,3,-0.7078460206445599,4,-1.0754845084101579,-0.7951632272572445,-1.462903336924618,-1.0260408358133,3,-1.5495763025809908,-0.9512264882332893,5,1,-1.3575817280366627,2,-1.02685765142659,-1.1836346493839311,-0.7521758378613592,-0.704483250333654,80000
69,0.45108977439504927,0.6514792433257054,-0.6050433927723767,-1.544007936485298,-0.5728345802734872,2,1,3,0.562233963355884,4,0.36582052183680147,1.45746623746812,1.4687525667698291,0.7897405221108432,3,0.29676325272497744,0.6004949339126351,4,1,-1.0334427468939182,0,0.31172464418307205,0.9077733740976383,-0.7521758378613592,-0.38742235468410563,225000
70,1.0278233662647447,0.6514792433257054,0.05737147989656824,-0.5749375266888309,5.587255547132974,3,1,2,2.65775192618606,0,2.7438444406823232,-0.7951632272572445,1.3469175162266833,0.7897405221108432,3,0.9122097711603002,2.1522163560585597,2,1,-0.2230952940370571,0,0.31172464418307205,0.20127983596404322,1.6421570108437387,-0.704483250333654,244000
71,-0.04325330435040385,-1.518466829500598,0.3554581725975935,1.0240286494753397,-0.5728345802734872,3,1,3,-0.484384910353638,4,-0.8218976269663482,-0.7951632272572445,-1.2763434157804259,-1.0260408358133,3,-1.5495763025809908,-0.9512264882332893,5,5,0.3441479229627457,2,0.31172464418307205,-0.5286075279355649,-0.7521758378613592,-0.704483250333654,129500
72,0.16272297846020162,0.6514792433257054,0.8853900707327494,0.6364004855567529,-0.3518447999180984,3,2,2,-0.5140277106983522,2,-0.7183927773974462,1.1137282723523472,0.385562820534673,0.7897405221108432,3,0.29676325272497744,0.6004949339126351,4,1,0.7898390220340193,0,0.31172464418307205,-0.21513026267098964,-0.7521758378613592,0.7147417111452767,185000
73,0.6158708006435336,-0.7951514718918303,-0.5719226491389294,0.8786680880058696,0.0017388486505236086,3,1,3,0.06514700372913938,2,-0.19828090831371403,-0.7951632272572445,-0.8175583035788924,-1.0260408358133,3,-0.31868326571034533,-0.9512264882332893,5,1,0.4251826682484318,2,0.31172464418307205,0.0796319419807752,-0.7521758378613592,-0.704483250333654,144900
74,-0.4140106134094937,-2.241782187109366,-1.8636316508433721,-1.689368497954768,-0.5728345802734872,2,1,1,-0.4957859874092973,2,-0.834835733162461,0.9579003948331969,0.1704478094194311,0.7897405221108432,3,0.9122097711603002,-0.9512264882332893,5,5,-2.5731029073219545,2,-1.02685765142659,-0.4397109900247152,-0.7521758378613592,-0.704483250333654,107400
75,-2.0206256193322165,-1.518466829500598,0.05737147989656824,-0.5749375266888309,-0.5728345802734872,3,1,2,-1.3577074128171391,4,-1.6473488022783411,0.26354970529933575,-1.0041182247230844,-1.0260408358133,3,-0.934129784145668,-0.9512264882332893,5,3,-0.2230952940370571,2,-1.02685765142659,-0.8233697325873297,0.20555730162067995,0.8204286763617928,91000
76,-0.4140106134094937,-1.518466829500598,-0.5056811618720349,-1.398647375015828,-0.5728345802734872,3,1,3,-0.2404018613625294,0,-0.5450221543695355,-0.7951632272572445,-1.072650440653604,-1.0260408358133,3,-1.5495763025809908,-0.9512264882332893,5,5,-0.9118906289653891,2,-1.02685765142659,-0.8888724447321663,-0.7521758378613592,-0.704483250333654,135750
77,-0.8259631790307046,-0.7951514718918303,-0.7706471109396129,0.781761047026223,-0.5728345802734872,3,1,3,-0.8788621764794492,4,-0.23450760566282972,-0.30705531679284714,-0.4387274432962982,-1.0260408358133,3,-0.31868326571034533,-0.9512264882332893,5,5,-1.2360296101081336,2,-1.02685765142659,-1.0900593463198789,-0.7521758378613592,-0.704483250333654,127000
